=== IGA Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:46:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (811 publication entries)

Phase 1: fetching publications per store…

  [7887351] Themed Brochure  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    22 products
  Saved → data/iga/flyers/7887351.json  (49,584 bytes)
  [7893759] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    364 products
  Saved → data/iga/flyers/7893759.json  (826,486 bytes)
  [7893765] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    364 products
  Saved → data/iga/flyers/7893765.json  (826,498 bytes)
  [7893761] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    351 products
  Saved → data/iga/flyers/7893761.json  (798,758 bytes)
  [7893755] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    364 products
  Saved → data/iga/flyers/7893755.json  (826,491 bytes)
  [7893763] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    351 products
  Saved → data/iga/flyers/7893763.json  (798,775 bytes)
  [7893771] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    367 products
  Saved → data/iga/flyers/7893771.json  (833,245 bytes)
  [7893769] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    354 products
  Saved → data/iga/flyers/7893769.json  (805,505 bytes)
  [7893767] Quebec  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    364 products
  Saved → data/iga/flyers/7893767.json  (826,515 bytes)
  [7884018] Iles-de-la-Madeleine  (2026-04-23T00:00:00-04:00 → 2026-04-29T23:59:59-04:00)
    133 products
  Saved → data/iga/flyers/7884018.json  (276,614 bytes)

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 14
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-04-23 13:46:43 UTC
Elapsed      : 0m 34s


Done.  Verbose log → logs/iga/2026-04-23_verbose.log
       Summary log → logs/iga/2026-04-23_summary.log

