=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [8612] IGA Alimentation C.Verreault → ['7926558', '7921346', '7921464', '7911193']
  [8615] IGA Alimentation Famille Gaouette inc. → ['7926562', '7921346', '7921464', '7911193']
  [8629] IGA Marche Famille Julien inc. → ['7926560', '7921346', '7921464', '7911193']
  [8634] IGA Michaud et fils → ['7926574', '7921346', '7921464', '7911193']
  [8639] IGA Super Marché Étop Inc. → ['7926562', '7921346', '7921464', '7911193']
  [8643] IGA → ['7926558', '7921346', '7921464', '7911193']
  [8644] IGA Supermarché Toppetta inc. → ['7926562', '7921346', '7921464', '7911193']
  [8653] 9158-9325 Québec Inc. → ['7926558', '7921346', '7921464', '7911193']
  [8661] IGA EXTRA Les Aliments Famille Dézielinc. → ['7926558']
  [8739] IGA Alimentation Claude Sauro → ['7926562', '7921346', '7921464', '7911193']
  [8792] IGA COOP #8792 → ['7921330']
  [8793] IGA COOP #8793 → ['7921330']
  [8794] IGA COOP #8794 → ['7921330']

  1070 new publication entries across 271 stores
  19 unique new publication(s) to download
  Appended 1070 rows to data/iga/store_flyers.parquet
New publication entries added to store_flyers.parquet: 1070
Unique new publications to download: 19

Phase 2: fetching products for each new publication…

  [7926558] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    406 products
  [7921346] Themed Brochure  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    26 products
  [7921464] Themed Brochure  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    43 products
  [7911193] Themed Brochure  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    24 products
  [7926562] Quebec  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    405 products
  [7926627] New Brunswick  (2026-05-14T00:00:00-04:00 → 2026-05-20T23:59:59-04:00)
    329 products
