=== Walmart Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:11:16 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

    70 products
  [8113357] Grocery Flyer  (2026-09-03T01:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    947 products
  [8111145] Grocery Flyer  (2026-08-27T01:00:00-04:00 → 2026-09-23T23:59:59-04:00)
    70 products
  [8113352] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    914 products
  [8120549] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    948 products
  [8110331] Grocery Flyer  (2026-08-27T00:00:00-04:00 → 2026-09-23T23:59:59-04:00)
    70 products
  [8120544] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    951 products
  [8120546] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    955 products
  [8120553] Grocery Flyer  (2026-09-03T03:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    947 products
  [8120551] Grocery Flyer  (2026-09-03T02:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    948 products
  [8120557] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    960 products
  [8113356] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    948 products
  [8113358] Grocery Flyer  (2026-09-03T02:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    948 products
  [8113355] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    950 products
  [8113365] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    959 products
  [8120548] Grocery Flyer  (2026-09-03T00:00:00-04:00 → 2026-09-09T23:59:59-04:00)
    950 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 28
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-09-03 17:12:10 UTC
Elapsed      : 0m 54s


Done.  Verbose log → logs/walmart/2026-09-03_verbose.log
       Summary log → logs/walmart/2026-09-03_summary.log

